country,category,mean,n,sd,upper,lower
Antigua and Barbuda,Financially Insecured,98.1981981981982,117,13.361967614920287,100.61941431046233,95.77698208593407
Antigua and Barbuda,Financially Secured,90.80882352941177,274,28.94338912872102,94.23595033180028,87.38169672702325
Argentina,Financially Insecured,69.8529411764706,413,45.94599908178151,74.2842166090332,65.421665743908
Argentina,Financially Secured,69.67930029154519,345,46.03154026234817,74.53667973896276,64.82192084412762
Bahamas,Financially Insecured,78.16091954022988,177,41.43464065909589,84.26517942256413,72.05665965789564
Bahamas,Financially Secured,81.42857142857143,288,38.957221802489414,85.92790099498379,76.92924186215907
Barbados,Financially Insecured,71.02803738317758,107,45.57669421476024,79.66392543928465,62.39214932707049
Barbados,Financially Secured,52.136752136752136,353,50.02563445438851,57.35544002509627,46.918064248408
Bolivia,Financially Insecured,69.18604651162791,352,46.239713000589,74.01663308017157,64.35545994308424
Bolivia,Financially Secured,61.46341463414634,621,48.707779292075955,65.29438330797976,57.63244596031292
Brazil,Financially Insecured,85.56962025316456,399,35.18431654254614,89.0220014513814,82.11723905494772
Brazil,Financially Secured,84.22575976845152,693,36.47633303533298,86.9415775424805,81.50994199442255
Colombia,Financially Insecured,52.39043824701195,520,49.992643652525864,56.68739025114898,48.09348624287492
Colombia,Financially Secured,58.68421052631579,398,49.30498765928464,63.52822452743477,53.8401965251968
Costa Rica,Financially Insecured,53.78927911275416,558,49.902348675871444,57.92984746412389,49.64871076138443
Costa Rica,Financially Secured,52.214452214452216,435,50.0092577970504,56.91406256870088,47.51484186020355
Dominica,Financially Insecured,42.18181818181818,275,49.475014304977925,48.02939119156859,36.33424517206777
Dominica,Financially Secured,60.76555023923445,209,48.94450900105583,67.40125270059376,54.12984777787514
Dominican Republic,Financially Insecured,59.437086092715234,629,49.142035474054246,63.277551784181114,55.59662040124935
Dominican Republic,Financially Secured,63.42182890855457,341,48.23606517562814,68.54160249165746,58.30205532545169
Ecuador,Financially Insecured,56.39810426540284,441,49.6478123340475,61.03190008324728,51.764308447558406
Ecuador,Financially Secured,56.70498084291188,533,49.59592127388492,60.915526963465084,52.494434722358676
Grenada,Financially Insecured,63.541666666666664,99,48.383972262825054,73.0727001348787,54.01063319845463
Grenada,Financially Secured,67.52136752136752,352,46.896347397930676,72.42055160262072,62.622183440114334
Guyana,Financially Insecured,80.48780487804878,254,39.71024971345093,85.37142451246216,75.6041852436354
Guyana,Financially Secured,75.24271844660194,215,43.26536744199768,81.02603864195024,69.45939825125365
Haiti,Financially Insecured,36.10315186246418,439,48.09892483722465,40.6025992699987,31.603704454929666
Haiti,Financially Secured,57.142857142857146,38,50.20964452534338,73.1072137260255,41.178500559688786
Jamaica,Financially Insecured,73.79679144385027,397,44.03290739182798,78.12829005865217,69.46529282904837
Jamaica,Financially Secured,73.9463601532567,560,43.93483435757361,77.58526794769011,70.3074523588233
Peru,Financially Insecured,56.73624288425047,544,49.59122518667027,60.903607112199246,52.5688786563017
Peru,Financially Secured,59.64125560538117,457,49.116751550914834,64.14452167392758,55.137989536834745
St. Kitts and Nevis,Financially Insecured,74.13793103448276,174,43.91404436856693,80.66299665428652,67.612865414679
St. Kitts and Nevis,Financially Secured,77.04402515723271,322,42.121252930269875,81.64478343993808,72.44326687452734
St. Lucia,Financially Insecured,65.21739130434783,174,47.77665429529546,72.31639138174961,58.118391226946045
St. Lucia,Financially Secured,66.38655462184875,247,47.338106833115084,72.29017577471076,60.48293346898673
St. Vincent and the Grenadines,Financially Insecured,78.49462365591398,296,41.15979310095292,83.1836578399005,73.80558947192746
St. Vincent and the Grenadines,Financially Secured,65.10416666666667,192,47.78868826410169,71.86391561487373,58.34441771845961
Suriname,Financially Insecured,55.331412103746395,380,49.78673847870556,60.337263461953924,50.325560745538866
Suriname,Financially Secured,53,118,50.16135580465919,62.05074510681465,43.94925489318535
Trinidad and Tobago,Financially Insecured,79.65811965811966,606,40.288591299821015,82.86587946740661,76.4503598488327
Trinidad and Tobago,Financially Secured,76.80722891566265,348,42.270016179634865,81.24841390667298,72.36604392465232
Venezuela,Financially Insecured,59.87096774193548,791,49.04761037693466,63.289074971009654,56.45286051286131
Venezuela,Financially Secured,62.80193236714976,210,48.4504991721885,69.35500044623757,56.248864288061945
LAC avg,Financially Insecured,63.93022062596203,8142,48.02337740542679,64.97336212301458,62.88707912890948
LAC avg,Financially Secured,67.38953645974519,7549,46.88178666748147,68.44712202107351,66.33195089841686
Antigua and Barbuda,Female,82.04081632653062,261,38.46328842816133,86.70721918321563,77.3744134698456
Antigua and Barbuda,Male,80.97345132743362,239,39.33818279189739,85.96081933288764,75.9860833219796
Argentina,Female,29.319371727748692,386,45.58235132548719,33.86672969502555,24.772013760471836
Argentina,Male,26.358695652173914,373,44.11777191607709,30.835985666985213,21.881405637362615
Bahamas,Female,55.60344827586207,254,49.79244875908278,61.7269902369445,49.47990631477964
Bahamas,Male,43.58974358974359,246,49.693680368870844,49.799716134106134,37.37977104538105
Barbados,Female,19.52191235059761,257,39.71612415541434,24.377662915378192,14.666161785817028
Barbados,Male,8.11965811965812,243,27.372227519286675,11.561279379224397,4.678036860091842
Bolivia,Female,54.93827160493827,500,49.806805069521324,59.30403055853748,50.57251265133907
Bolivia,Male,42.15885947046843,500,49.431701159406444,46.491739116675234,37.82597982426162
Brazil,Female,53.806228373702425,586,49.89809889262851,57.84632044703216,49.766136300372686
Brazil,Male,41.372549019607845,523,49.298402076748644,45.59765949925845,37.14743853995724
Colombia,Female,34.57556935817805,513,47.610713771228674,38.69561551246442,30.45552320389168
Colombia,Male,29.15766738660907,487,45.498001722942774,33.19862145048013,25.116713322738008
Costa Rica,Female,38.663967611336034,506,48.74735585742294,42.911452835097265,34.4164823875748
Costa Rica,Male,32.657200811359026,499,46.94355430218936,36.77610573598395,28.5382958867341
Dominica,Female,16,254,36.734147470187,20.517614599086127,11.482385400913873
Dominica,Male,30.672268907563026,246,46.21050883160568,36.44696679621157,24.897571018914483
Dominican Republic,Female,41.224489795918366,511,49.27418605409278,45.496822644461055,36.95215694737568
Dominican Republic,Male,33.8235294117647,491,47.36068048209985,38.01275028738965,29.634308536139756
Ecuador,Female,38.41463414634146,509,48.68878295678508,42.64449517636575,34.184773116317174
Ecuador,Male,34.526315789473685,496,47.59552732799611,38.71503622929918,30.33759534964819
Grenada,Female,35.36585365853659,254,47.90795056384145,41.25763751047322,29.474069806599957
Grenada,Male,14.40329218106996,246,35.184782431281164,18.800159775817406,10.006424586322513
Guyana,Female,49.36708860759494,252,50.1018058172447,55.553078134219945,43.18109908096993
Guyana,Male,57.51072961373391,248,49.539092155796936,63.67637118908905,51.34508803837876
Haiti,Female,30.89005235602094,260,46.325432999906475,36.52109588715703,25.259008824884855
Haiti,Male,34.46601941747573,247,47.64150998691968,40.407478527883455,28.524560307068
Jamaica,Female,34.22818791946309,506,47.50050093746274,38.36703139731722,30.089344441608954
Jamaica,Male,30.303030303030305,495,46.00663857967001,34.356005771664094,26.250054834396515
Peru,Female,40.396039603960396,529,49.11762671511534,44.581715619683266,36.21036358823753
Peru,Male,38.65030674846626,500,48.74467609546313,42.92296599266031,34.377647504272204
St. Kitts and Nevis,Female,8.583690987124463,252,28.07261351248474,12.049771507388877,5.117610466860048
St. Kitts and Nevis,Male,35.426008968609864,248,47.93645047821511,41.39218556130809,29.459832375911635
St. Lucia,Female,29.184549356223176,252,45.559030690852175,34.8096497313437,23.559448981102655
St. Lucia,Male,19.650655021834062,248,39.82263596367498,24.606985250205756,14.694324793462368
St. Vincent and the Grenadines,Female,35.064935064935064,257,47.820953474302634,40.91159374020097,29.21827638966916
St. Vincent and the Grenadines,Male,35.74660633484163,243,48.03416444927275,41.78613678363822,29.707075886045043
Suriname,Female,33.6283185840708,254,47.348578707335236,39.451310136762665,27.80532703137893
Suriname,Male,32,248,46.75162334843878,37.81871286066246,26.18128713933754
Trinidad and Tobago,Female,49.04862579281184,511,50.04387654524128,53.387694882617545,44.709556703006136
Trinidad and Tobago,Male,51.7467248908297,490,50.024121535723815,56.17604942688478,47.31740035477461
Venezuela,Female,40.718562874251496,512,49.18010405367743,44.97857204603887,36.45855370246412
Venezuela,Male,43.09278350515464,495,49.57173666429064,47.45982788919547,38.72573912111381
LAC avg,Female,39.956994687579055,8376,48.984094771348715,41.006036560789454,38.907952814368656
LAC avg,Male,36.487893777662066,8051,48.14275328578391,37.53952163517267,35.43626592015146
Antigua and Barbuda,Dark Skin,50.442477876106196,130,50.22075162525258,59.07559441402284,41.809361338189554
Antigua and Barbuda,Light Skin,56.14617940199336,370,49.70343945531041,61.210738602894686,51.08162020109203
Argentina,Dark Skin,62.36413043478261,743,48.48011603120696,65.85011383772127,58.878147031843945
Argentina,Light Skin,75,16,44.721359549995796,96.91346617949793,53.08653382050206
Bahamas,Dark Skin,40.21164021164021,207,49.162752636152106,46.909053350422184,33.51422707285823
Bahamas,Light Skin,40,293,49.090081132279366,45.62103139622666,34.37896860377334
Barbados,Dark Skin,48.275862068965516,89,50.2599497624131,58.71784834765279,37.83387579027824
Barbados,Light Skin,23.076923076923077,411,42.184875487101145,27.155342928077904,18.99850322576825
Bolivia,Dark Skin,48.46938775510204,806,50.00847010385211,51.921875287615634,45.01690022258845
Bolivia,Light Skin,47.340425531914896,194,50.06253911137396,54.385215977556484,40.29563508627331
Brazil,Dark Skin,90.2465166130761,938,29.684378725531843,92.14620608567391,88.34682714047828
Brazil,Light Skin,85.71428571428571,171,35.097322834447404,90.9748460565908,80.45372537198061
Colombia,Dark Skin,46.96969696969697,814,49.93962565719101,50.40044759768168,43.538946341712254
Colombia,Light Skin,63.63636363636363,186,48.241815132442184,70.56939618867843,56.70333108404884
Costa Rica,Dark Skin,38.72229465449804,782,48.743317795515644,42.138687326558454,35.30590198243763
Costa Rica,Light Skin,35.77981651376147,223,48.04555399776709,42.08585831550544,29.47377471201749
Dominica,Dark Skin,10.638297872340425,47,31.166052833390548,19.548528494208696,1.7280672504721526
Dominica,Light Skin,11.670480549199084,453,32.143619410471494,14.630548955664398,8.71041214273377
Dominican Republic,Dark Skin,41.29353233830846,844,49.266787460318774,44.61736454910923,37.969700127507686
Dominican Republic,Light Skin,42.857142857142854,158,49.648625302195015,50.598814656803505,35.1154710574822
Ecuador,Dark Skin,62.66094420600859,955,48.396421319449274,65.73044418275639,59.59144422926079
Ecuador,Light Skin,60,50,49.48716593053935,73.7171425595858,46.282857440414205
Grenada,Dark Skin,33.333333333333336,82,47.43416490252569,43.60025868114613,23.066407985520538
Grenada,Light Skin,37.81094527363184,417,48.551939739528564,42.471038761555825,33.15085178570785
Guyana,Dark Skin,65.85365853658537,275,47.51673096136092,71.46977724588848,60.237539827282255
Guyana,Light Skin,68.07511737089202,225,46.728380033720214,74.18095902863146,61.96927571315258
Haiti,Dark Skin,29.447852760736197,442,45.650869517270635,33.70377800262315,25.191927518849237
Haiti,Light Skin,52.459016393442624,65,50.35393853198635,64.70046570006167,40.217567086823585
Jamaica,Dark Skin,49.78165938864629,517,50.054197452157524,54.09636631894715,45.46695245834543
Jamaica,Light Skin,51.918735891647856,484,50.01965845427753,56.37503273575622,47.46243904753949
Peru,Dark Skin,47.94050343249428,900,49.986171125176504,51.20626661267248,44.674740252316084
Peru,Light Skin,48,129,50.1610310127101,56.656207742604195,39.343792257395805
St. Kitts and Nevis,Dark Skin,20.754716981132077,56,40.943162132389446,31.478386933269743,10.031047028994411
St. Kitts and Nevis,Light Skin,21.93211488250653,444,41.432789042245616,25.786088657072376,18.07814110794068
St. Lucia,Dark Skin,54.88721804511278,142,49.94870916755634,63.10275906357444,46.671677026651125
St. Lucia,Light Skin,37.254901960784316,358,48.42753984290611,42.271472982776494,32.23833093879214
St. Vincent and the Grenadines,Dark Skin,32.35294117647059,40,47.485807993381705,47.06894553613716,17.636936816804017
St. Vincent and the Grenadines,Light Skin,29.6,460,45.710083840503756,33.77723755070109,25.422762449298915
Suriname,Dark Skin,45.42483660130719,335,49.87179534852028,50.765419621435925,40.08425358117846
Suriname,Light Skin,50.33112582781457,167,50.165289707034766,57.93966288966795,42.722588765961184
Trinidad and Tobago,Dark Skin,61.3126079447323,624,48.74555108724604,65.1373201446203,57.48789574484429
Trinidad and Tobago,Light Skin,62.82420749279539,377,48.397208772076105,67.70967030049185,57.938744685098925
Venezuela,Dark Skin,33.56401384083045,881,47.2486322887186,36.68403370188777,30.443993979773126
Venezuela,Light Skin,38.4,126,48.83150754412829,46.9265026424571,29.873497357542895
LAC avg,Dark Skin,51.84893008579036,10649,49.96826661719381,52.79799505170664,50.89986511987407
LAC avg,Light Skin,41.83847172309438,5777,49.33406330599472,43.1106611280265,40.56628231816226
